CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;ESTADO_CURSO;CODIGO_NIVEL_FORMACION;NIVEL_FORMACION;CODIGO_JORNADA;NOMBRE_JORNADA;TIPO_DE_FORMACION;FECHA_INICIO_FICHA;FECHA_TERMINACION_FICHA;ETAPA_FICHA;MODALIDAD_FORMACION;NOMBRE_RESPONSABLE;NUMERO_IDENTIFICACION_EMPRESA;TIPO_IDENTIFICACION_EMPRESA;NOMBRE_EMPRESA;CODIGO_SECTOR_PROGRAMA;NOMBRE_SECTOR_PROGRAMA;CODIGO_OCUPACION;NOMBRE_OCUPACION;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;NUMERO_CURSOS;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES;HORAS_PLANTA;HORAS_CONTRATISTAS;HORAS_CONTRATISTAS_EXTERNOS;HORAS_MONITORES;HORAS_INST_EMPRESA;TOTAL_HORAS;TOTAL_APRENDICES_ACTIVOS;DURACION_PROGRAMA;NOMBRE_NUEVO_SECTOR;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;149558;1149558;Terminada por fecha;6;TECNÓLOGO;1;DIURNA;A LA MEDIDA;17/01/2011;17/01/2013;PRACTICA;COMBINADA;JEINY ROMERO;;;;6;PENDIENTE POR DEFINIR;2262;INSPECTORES DE SANIDAD, SEGURIDAD Y SALUD OCUPACIONAL;226206;1;SALUD OCUPACIONAL;57;COLOMBIA;25;CUNDINAMARCA;843;VILLA DE SAN DIEGO DE UBATÉ;0;;;0;;1;7;28;35;0:29;0:00;0:00;0:00;0:00;0:29;25;3080;SALUD;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;470833;1470833;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;20/02/2013;08/05/2013;LECTIVA;PRESENCIAL;CLAUDIA VILAC;8999991728;NIT;ALCALDIA CHIA;4;SERVICIOS;5244;ARTESANOS;52442020;1;TEJIDOS Y TRENZADOS;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;2;14;16;0:00;40:00;0:00;0:00;0:00;40:00;14;40;INDUSTRIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;526876;1526876;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;16/05/2013;20/05/2013;LECTIVA;PRESENCIAL;GIOVANNA PAOLA PARRA PRIETO;860517394;NIT;ASOCIACION COLOMBIANA DE DROGUISTAS - ASOCOLDRO;3;COMERCIO;3311;AUXILIARES DE ENFERMERÍA;33110163;1;ADMINISTRAR MEDICAMENTOS;57;COLOMBIA;11;BOGOTÁ D.C.;1;BOGOTÁ;0;;;0;;1;7;11;18;0:00;20:00;0:00;0:00;0:00;20:00;18;20;SALUD;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;574920;1574920;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;03/08/2013;16/11/2013;LECTIVA;PRESENCIAL;ANA RAQUEL GOMEZ;900015752;NIT;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL EL ALTICO;2;INDUSTRIA;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151441;1;PROCESAMIENTO DE PRODUCTOS LACTEOS Y DERIVADOS;57;COLOMBIA;25;CUNDINAMARCA;200;COGUA;0;;;0;;1;14;16;30;0:00;80:00;0:00;0:00;0:00;80:00;27;80;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;649311;1649311;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;23/11/2013;13/12/2013;LECTIVA;PRESENCIAL;JOSE ISMAEL DUARTE CASTRO;899999034;NIT;SERVICIO NACIONAL DE APRENDIZAJE - SENA;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151439;1;ELABORACION ARTESANAL DE DERIVADOS CARNICOS;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;8;19;27;40:00;0:00;0:00;0:00;0:00;40:00;27;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;472652;1472652;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;25/02/2013;28/03/2013;LECTIVA;VIRTUAL;JAIRO ANTONIO;;;;4;SERVICIOS;1341;AUXILIARES ADMINISTRATIVOS;13410029;1;ADMINISTRACION DE RECURSOS HUMANOS;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;1;19;61;80;0:00;47:36;0:00;0:00;0:00;47:36;26;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;516906;1516906;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;02/05/2013;11/07/2013;LECTIVA;PRESENCIAL;PEDRO ALFONSO LEON FORERO;800201795;NIT;FLORES CALIMA LTDA;1;PRIMARIO Y EXTRACTIVO;7331;TRABAJADORES AGRÍCOLAS;73311563;1;MANEJO RACIONAL DE PLAGUICIDAS;57;COLOMBIA;25;CUNDINAMARCA;758;SOPÓ;0;;;0;;1;19;8;27;60:00;0:00;0:00;0:00;0:00;60:00;24;60;AGROPECUARIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;509438;1509438;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;17/04/2013;19/06/2013;LECTIVA;PRESENCIAL;MAYRA ALEJANDRA ALBARRACIN;860512466;NIT;EL POMAR S.A;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151434;1;ELABORACION DE LECHES FERMENTADAS Y EVAPORADAS;57;COLOMBIA;25;CUNDINAMARCA;126;CAJICA;0;;;0;;1;11;8;19;0:00;40:00;0:00;0:00;0:00;40:00;19;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;463123;1463123;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;15/02/2013;08/03/2013;LECTIVA;PRESENCIAL;FABIO ROMERO ORJUELA;8320033243;NIT;IED PABLO VI;2;INDUSTRIA;8371;MECÁNICOS INDUSTRIALES;83710041;1;APLICACIÓN DE LOS SENSORES EN LA TECNOLOGÍA DE MEDICIÓN Y CONTROL DE PROCESOS .;57;COLOMBIA;25;CUNDINAMARCA;758;SOPÓ;0;;;1003;AULA MÓVIL;1;11;7;18;0:00;0:00;20:00;0:00;0:00;20:00;18;40;INDUSTRIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;321760;1321760;Terminada por fecha;6;TECNÓLOGO;1;DIURNA;A LA MEDIDA;30/01/2012;31/07/2013;PRACTICA;PRESENCIAL;DIANA LUISA PINZON;860054546;NIT;MG CONSULTORES CI LTDA;1;PRIMARIO Y EXTRACTIVO;7333;TRABAJADORES DE VIVERO;733305;1;CULTIVO, PRODUCCIÓN Y POSTCOSECHA DE ROSAS Y ALSTROEMERIAS DE EXPORTACIÓN;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;11;15;26;3:23;0:00;0:00;0:00;0:00;3:23;16;1441;AGROPECUARIO;
