CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;ESTADO_CURSO;CODIGO_NIVEL_FORMACION;NIVEL_FORMACION;CODIGO_JORNADA;NOMBRE_JORNADA;TIPO_DE_FORMACION;FECHA_INICIO_FICHA;FECHA_TERMINACION_FICHA;ETAPA_FICHA;MODALIDAD_FORMACION;NOMBRE_RESPONSABLE;NUMERO_IDENTIFICACION_EMPRESA;TIPO_IDENTIFICACION_EMPRESA;NOMBRE_EMPRESA;CODIGO_SECTOR_PROGRAMA;NOMBRE_SECTOR_PROGRAMA;CODIGO_OCUPACION;NOMBRE_OCUPACION;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;NUMERO_CURSOS;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES;HORAS_PLANTA;HORAS_CONTRATISTAS;HORAS_CONTRATISTAS_EXTERNOS;HORAS_MONITORES;HORAS_INST_EMPRESA;TOTAL_HORAS;TOTAL_APRENDICES_ACTIVOS;DURACION_PROGRAMA;NOMBRE_NUEVO_SECTOR;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;765670;1765670;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;23/05/2014;13/06/2014;LECTIVA;PRESENCIAL;ROBERTO BERNAL;8320056175;NIT;SURTIFRUVER DE LA SABANA LTDA.;6;PENDIENTE POR DEFINIR;6621;AYUDANTES DE COCINA Y CAFETERÍA;66210055;1;HIGIENE Y MANIPULACIÓN DE ALIMENTOS;57;COLOMBIA;11;BOGOTÁ D.C.;1;BOGOTÁ;0;;;2135;ATENCION A INSTITUCIONES;1;10;10;20;0:00;20:00;0:00;0:00;0:00;20:00;20;20;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;873809;1873809;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;27/10/2014;31/10/2014;LECTIVA;PRESENCIAL;FABIAN CAÑON;8320025009;NIT;INSTITUCION EDUCATIVA DEPARTA.POMPILIO MARTINEZ;5;TRANSVERSAL;;;03000063;1;FORTALECIMIENTO EN RAZONAMIENTO CUANTITATIVO PARA ARTICULACION CON LA MEDIA;57;COLOMBIA;25;CUNDINAMARCA;126;CAJICA;0;;;2135;ATENCION A INSTITUCIONES;1;13;14;27;0:00;40:00;0:00;0:00;0:00;40:00;27;57;;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;738360;1738360;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;21/04/2014;30/05/2014;LECTIVA;VIRTUAL;JAIRO ANTONIO;;;;5;TRANSVERSAL;5125;OCUPACIONES PROFESIONALES EN RELACIONES PÚBLICAS Y COMUNICACIONES;51250023;2;ENGLISH DOT WORKS LEVEL 1 - INGLÉS 1;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;1013;PROGRAMA DE BILINGUISMO;1;24;16;40;0:00;60:00;0:00;0:00;0:00;60:00;2;60;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;725284;1725284;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;04/04/2014;25/07/2014;LECTIVA;PRESENCIAL;PEDRO LEON FORERO;8999991728;NIT;ALCALDIA CHIA;1;PRIMARIO Y EXTRACTIVO;7331;TRABAJADORES AGRÍCOLAS;73311563;1;MANEJO RACIONAL DE PLAGUICIDAS;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2135;ATENCION A INSTITUCIONES;1;18;0;18;60:00;0:00;0:00;0:00;0:00;60:00;11;60;AGROPECUARIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;644592;1644592;En ejecucion;6;TECNÓLOGO;4;MIXTA;NO A LA MEDIDA;15/11/2013;15/11/2015;LECTIVA;PRESENCIAL;GERMAN ROBAYO CRUZ;899999034;NIT;SERVICIO NACIONAL DE APRENDIZAJE - SENA;6;PENDIENTE POR DEFINIR;2241;TÉCNICOS EN ELECTRICIDAD;224130;100;MANTENIMIENTO ELÉCTRICO INDUSTRIAL;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2115;100 MIL OPORTUNIDADES PARA LOS JÓVENES;1;22;1;23;0:00;370:00;0:00;0:00;0:00;370:00;19;3110;ELECTRICIDAD;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;674083;1674083;Terminada por fecha;1;AUXILIAR;4;MIXTA;NO A LA MEDIDA;03/02/2014;31/07/2014;LECTIVA;PRESENCIAL;GERMAN ROBAYO CRUZ;860005068302;NIT;CONGREGACIÓN DE RELIGIOSOS TERCIARIOS CAPUCHINOS DE NUESTRA SEÑORA DE LOS DOLORES;6;PENDIENTE POR DEFINIR;9331;OPERADORES DE MÁQUINAS PARA PROCESAMIENTO DE LA MADERA;933106;100;TRABAJADOR DE LA MADERA;57;COLOMBIA;25;CUNDINAMARCA;126;CAJICA;0;;;2135;ATENCION A INSTITUCIONES;1;26;0;26;0:00;390:00;0:00;0:00;0:00;390:00;26;985;INDUSTRIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;635969;1635969;En ejecucion;6;TECNÓLOGO;4;MIXTA;NO A LA MEDIDA;05/11/2013;05/11/2015;LECTIVA;PRESENCIAL;GERMAN ROBAYO CRUZ;899999034;NIT;SERVICIO NACIONAL DE APRENDIZAJE - SENA;6;PENDIENTE POR DEFINIR;;;112005;101;GESTIÓN DEL TALENTO HUMANO;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2115;100 MIL OPORTUNIDADES PARA LOS JÓVENES;1;3;30;33;0:00;667:00;0:00;0:00;0:00;667:00;19;3110;;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;683429;1683429;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;17/02/2014;05/05/2014;LECTIVA;PRESENCIAL;ERNESTO RAFAEL ZAPA AVILEZ;8320034510;NIT;INSTITUCION EDUCATIVA JUAN JOSE NEIRA;6;PENDIENTE POR DEFINIR;8411;INSTALADORES RESIDENCIALES Y COMERCIALES;84110003;1;ELECTRICIDAD BÀSICA;57;COLOMBIA;25;CUNDINAMARCA;426;MACHETÁ;0;;;1003;AULA MÓVIL;1;14;20;34;0:00;40:00;0:00;0:00;0:00;40:00;34;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;740000;1740000;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;22/04/2014;27/05/2014;LECTIVA;PRESENCIAL;DERLY ESPERANZA CORTES SANCHEZ;8999991728;NIT;ALCALDIA CHIA;6;PENDIENTE POR DEFINIR;6372;AUXILIARES DEL CUIDADO DE NIÑOS;63720031;1;ATENCIÓN PARA LA PRIMERA INFANCIA;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2135;ATENCION A INSTITUCIONES;1;9;15;24;0:00;60:00;0:00;0:00;0:00;60:00;24;60;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;626354;1626354;En ejecucion;2;TÉCNICO;4;MIXTA;NO A LA MEDIDA;20/01/2014;20/01/2015;LECTIVA;PRESENCIAL;GERMAN ROBAYO CRUZ;;;;4;SERVICIOS;1223;ASISTENTES DE PERSONAL Y SELECCIÓN;122317;1;RECURSOS HUMANOS;57;COLOMBIA;25;CUNDINAMARCA;899;ZIPAQUIRÁ;0;;;0;;1;4;32;36;1:56;720:00;0:00;0:00;0:00;721:56;34;1930;TRANSVERSAL;
